timestamp_utc,exchange,pair,best_bid,best_ask,last_price
2026-03-11T09:30:02.603511+00:00,indodax,USDTIDR,16915,16920,16920
2026-03-11T09:31:04.708967+00:00,indodax,USDTIDR,16916,16920,16920
2026-03-11T09:32:07.395216+00:00,indodax,USDTIDR,16916,16920,16920
2026-03-11T09:33:09.896086+00:00,indodax,USDTIDR,16914,16919,16919
2026-03-11T09:34:12.655591+00:00,indodax,USDTIDR,16916,16919,16916
2026-03-11T09:35:15.185875+00:00,indodax,USDTIDR,16916,16917,16916
2026-03-11T09:36:17.463509+00:00,indodax,USDTIDR,16916,16917,16917
2026-03-11T09:37:19.678389+00:00,indodax,USDTIDR,16916,16917,16917
2026-03-11T09:38:21.592482+00:00,indodax,USDTIDR,16914,16920,16914
2026-03-11T09:39:24.377493+00:00,indodax,USDTIDR,16914,16920,16920
2026-03-11T09:40:27.288216+00:00,indodax,USDTIDR,16914,16920,16914
2026-03-11T09:41:29.372451+00:00,indodax,USDTIDR,16914,16921,16921
2026-03-11T09:42:31.097219+00:00,indodax,USDTIDR,16914,16921,16921
2026-03-11T09:43:33.222674+00:00,indodax,USDTIDR,16914,16920,16920
2026-03-11T09:44:35.106848+00:00,indodax,USDTIDR,16915,16921,16921
2026-03-11T09:45:37.629412+00:00,indodax,USDTIDR,16915,16921,16915
2026-03-11T09:46:39.946811+00:00,indodax,USDTIDR,16915,16921,16921
2026-03-11T09:47:41.637218+00:00,indodax,USDTIDR,16916,16921,16921
2026-03-11T09:48:44.214100+00:00,indodax,USDTIDR,16916,16920,16916
2026-03-11T09:49:46.081451+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T09:50:48.172009+00:00,indodax,USDTIDR,16915,16921,16915
2026-03-11T09:51:50.542524+00:00,indodax,USDTIDR,16915,16919,16915
2026-03-11T09:52:53.009646+00:00,indodax,USDTIDR,16919,16921,16919
2026-03-11T09:53:55.037248+00:00,indodax,USDTIDR,16919,16921,16919
2026-03-11T09:54:57.737827+00:00,indodax,USDTIDR,16920,16921,16915
2026-03-11T09:56:00.745891+00:00,indodax,USDTIDR,16915,16921,16921
2026-03-11T09:57:03.143225+00:00,indodax,USDTIDR,16920,16921,16921
2026-03-11T09:58:05.045584+00:00,indodax,USDTIDR,16915,16921,16921
2026-03-11T09:59:07.655584+00:00,indodax,USDTIDR,16916,16921,16921
2026-03-11T10:00:10.216400+00:00,indodax,USDTIDR,16916,16921,16921
2026-03-11T10:01:12.435992+00:00,indodax,USDTIDR,16916,16921,16921
2026-03-11T10:02:14.926259+00:00,indodax,USDTIDR,16916,16922,16922
2026-03-11T10:03:16.517042+00:00,indodax,USDTIDR,16916,16922,16922
2026-03-11T10:04:19.357222+00:00,indodax,USDTIDR,16916,16922,16916
2026-03-11T10:05:21.282281+00:00,indodax,USDTIDR,16916,16922,16916
2026-03-11T10:06:23.279592+00:00,indodax,USDTIDR,16916,16922,16922
2026-03-11T10:07:25.680267+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:08:28.603690+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:09:31.100297+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:10:33.330786+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:11:35.718407+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:12:37.729439+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:13:39.383807+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:14:41.389256+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:15:43.454530+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:16:45.986034+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:17:48.796785+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:18:50.787187+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:19:53.204625+00:00,indodax,USDTIDR,16914,16916,16916
2026-03-11T10:20:55.112046+00:00,indodax,USDTIDR,16914,16916,16916
2026-03-11T10:21:57.827530+00:00,indodax,USDTIDR,16914,16916,16916
2026-03-11T10:23:00.277041+00:00,indodax,USDTIDR,16914,16916,16914
2026-03-11T10:24:02.648074+00:00,indodax,USDTIDR,16914,16915,16914
2026-03-11T10:25:04.479249+00:00,indodax,USDTIDR,16914,16915,16915
2026-03-11T10:26:06.801845+00:00,indodax,USDTIDR,16913,16915,16915
2026-03-11T10:27:08.989412+00:00,indodax,USDTIDR,16913,16915,16913
2026-03-11T10:28:11.327613+00:00,indodax,USDTIDR,16913,16915,16913
2026-03-11T10:29:13.431799+00:00,indodax,USDTIDR,16913,16915,16915
2026-03-11T10:30:15.757072+00:00,indodax,USDTIDR,16912,16915,16912
2026-03-11T10:31:18.398351+00:00,indodax,USDTIDR,16910,16914,16914
2026-03-11T10:32:20.546389+00:00,indodax,USDTIDR,16910,16911,16911
2026-03-11T10:33:23.226505+00:00,indodax,USDTIDR,16911,16912,16911
2026-03-11T10:34:25.587042+00:00,indodax,USDTIDR,16911,16912,16911
2026-03-11T10:35:27.904532+00:00,indodax,USDTIDR,16911,16912,16912
2026-03-11T10:36:30.123423+00:00,indodax,USDTIDR,16911,16912,16912
2026-03-11T10:37:33.139348+00:00,indodax,USDTIDR,16912,16915,16915
2026-03-11T10:38:35.546945+00:00,indodax,USDTIDR,16912,16915,16915
2026-03-11T10:39:38.150461+00:00,indodax,USDTIDR,16914,16916,16913
2026-03-11T10:40:40.464868+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:41:43.093319+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:42:44.953648+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:43:47.147277+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:44:49.172400+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:45:51.407173+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:46:53.803688+00:00,indodax,USDTIDR,16915,16916,16915
2026-03-11T10:47:55.795715+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:48:57.935355+00:00,indodax,USDTIDR,16915,16916,16916
2026-03-11T10:49:59.740007+00:00,indodax,USDTIDR,16914,16915,16915
2026-03-11T10:51:01.876866+00:00,indodax,USDTIDR,16914,16915,16915
2026-03-11T10:52:04.222180+00:00,indodax,USDTIDR,16912,16913,16912
2026-03-11T10:53:06.698115+00:00,indodax,USDTIDR,16911,16913,16911
2026-03-11T10:54:09.426445+00:00,indodax,USDTIDR,16911,16913,16913
2026-03-11T10:55:11.544874+00:00,indodax,USDTIDR,16912,16913,16913
2026-03-11T10:56:13.910188+00:00,indodax,USDTIDR,16912,16913,16913
2026-03-11T10:57:16.382797+00:00,indodax,USDTIDR,16912,16913,16913
2026-03-11T10:58:18.515254+00:00,indodax,USDTIDR,16912,16913,16913
2026-03-11T10:59:20.631250+00:00,indodax,USDTIDR,16911,16913,16911
2026-03-11T11:00:23.391114+00:00,indodax,USDTIDR,16911,16914,16914
2026-03-11T11:01:25.914460+00:00,indodax,USDTIDR,16911,16914,16914
2026-03-11T11:02:28.493045+00:00,indodax,USDTIDR,16911,16913,16914
2026-03-11T11:03:30.888676+00:00,indodax,USDTIDR,16911,16913,16911
2026-03-11T11:04:33.385257+00:00,indodax,USDTIDR,16911,16913,16911
2026-03-11T11:05:35.216540+00:00,indodax,USDTIDR,16911,16912,16912
2026-03-11T11:06:37.337766+00:00,indodax,USDTIDR,16911,16914,16911
2026-03-11T11:07:40.129765+00:00,indodax,USDTIDR,16911,16914,16911
2026-03-11T11:08:42.169532+00:00,indodax,USDTIDR,16911,16914,16914
